epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.9673,0.75005,2.35064,1.11804,1,0.95671,0.995,0.89712,0.44362,2.30213,0.75801,0.00052,0.00052,0.00052
2,104.668,0.93412,1.5933,1.14894,1,0.99195,0.995,0.8503,0.5508,1.13742,0.79756,0.00100753,0.00100753,0.00100753
3,157.701,0.82906,1.44989,1.03838,1,0.76764,0.9432,0.76979,0.71377,2.06325,0.88856,0.0014416,0.0014416,0.0014416
4,208.573,0.73287,1.47545,1.00118,1,0.76764,0.9432,0.76979,0.71377,2.06325,0.88856,0.001703,0.001703,0.001703
5,259.935,0.7783,1.3942,1.01095,0.86494,0.98607,0.97951,0.77319,0.70087,1.51447,0.86075,0.001604,0.001604,0.001604
6,312.6,0.78896,1.27986,1.06284,0.99541,1,0.995,0.89366,0.49076,1.18777,0.7862,0.001505,0.001505,0.001505
7,363.133,0.75627,1.24238,1.04171,0.99403,1,0.995,0.82349,0.63839,1.28061,0.87899,0.001406,0.001406,0.001406
8,415.087,0.64715,1.15528,0.94743,0.9916,1,0.995,0.89764,0.47439,1.07825,0.78723,0.001307,0.001307,0.001307
9,465.992,0.75707,1.38278,1.02902,0.99096,1,0.995,0.9098,0.47146,1.1366,0.77185,0.001208,0.001208,0.001208
10,518.409,0.61654,1.23129,0.99748,0.99096,1,0.995,0.9098,0.47146,1.1366,0.77185,0.001109,0.001109,0.001109
11,568.462,0.44731,1.28751,0.85326,0.99535,1,0.995,0.94627,0.37725,0.90998,0.74031,0.00101,0.00101,0.00101
12,620.444,0.44573,1.32618,0.83811,0.92377,1,0.99,0.90119,0.39795,0.96445,0.74323,0.000911,0.000911,0.000911
13,671.646,0.41123,1.21647,0.86195,0.99644,1,0.995,0.94067,0.33474,0.91002,0.72747,0.000812,0.000812,0.000812
14,722.279,0.39246,1.20841,0.8018,0.99603,1,0.995,0.98801,0.27198,0.81625,0.71012,0.000713,0.000713,0.000713
15,773.567,0.36389,1.17503,0.81714,0.99622,1,0.995,0.97552,0.26924,0.75247,0.70738,0.000614,0.000614,0.000614
16,823.66,0.38886,1.12591,0.80665,0.99613,1,0.995,0.97361,0.27838,0.7175,0.71071,0.000515,0.000515,0.000515
17,874.297,0.36406,1.13658,0.83094,0.99613,1,0.995,0.97361,0.27838,0.7175,0.71071,0.000416,0.000416,0.000416
18,924.743,0.32469,1.04324,0.8135,0.9961,1,0.995,0.97361,0.27026,0.72115,0.70882,0.000317,0.000317,0.000317
19,975.02,0.33051,1.04651,0.824,0.99602,1,0.995,0.97744,0.24939,0.72336,0.70477,0.000218,0.000218,0.000218
20,1025.32,0.30521,1.06927,0.83355,0.99596,1,0.995,0.9767,0.23777,0.71441,0.70295,0.000119,0.000119,0.000119
